uf;cidade;itens;processos;elegiveis_modelagem;sucesso_qtd;insucesso_qtd;deserto_qtd;fracassado_qtd;resultado_final_sucesso_qtd;baixa_comp_qtd;insucesso_ampliado_qtd;propostas_media;propostas_mediana;valor_cotado_medio;valor_cotado_mediano;valor_homologado_medio;valor_homologado_mediano;desconto_pct_medio;desconto_pct_mediano;mediana_ref_preco;desvio_cotado_ref_mediano_pct;me_epp_qtd;regional_qtd;local_qtd;taxa_insucesso_pct;taxa_sucesso_pct;taxa_deserto_pct;taxa_fracassado_pct;taxa_baixa_comp_pct;taxa_insucesso_ampliado_pct;pct_me_epp;pct_regional;pct_local
RS;TENENTE PORTELA;342;9;255;232;23;8;15;0;52;62;6.362573099415204;6.0;1652.0590058479534;21.009999999999998;1021.1003448275862;18.740000000000002;30.696077;31.043886;17.81;20.437955856323242;0;0;0;9.019607843137255;90.98039215686275;3.1372549019607843;5.88235294117647;15.204678362573098;18.128654970760234;0.0;0.0;0.0
PR;SANTO ANTÔNIO DO PARAÍSO;561;34;553;530;23;7;16;0;96;114;6.122994652406417;5.0;7767.64570409982;26.96;6077.238150943396;15.975;34.238125;35.241356;17.81;51.375633239746094;440;0;0;4.159132007233273;95.84086799276673;1.2658227848101267;2.8933092224231465;17.11229946524064;20.32085561497326;78.43137254901961;0.0;0.0
PR;SANTA MARIA DO OESTE;858;28;797;774;23;0;23;0;122;132;7.406759906759906;6.0;2901.1447435897435;44.92;1818.847519379845;18.795;36.40658;40.275536;17.81;147.36103057861328;54;54;0;2.8858218318695106;97.1141781681305;0.0;2.8858218318695106;14.219114219114218;15.384615384615385;6.293706293706294;6.293706293706294;0.0
PR;CAMPO MOURÃO;157;9;22;0;22;22;0;0;52;74;3.4522292993630574;3.0;95488.34694267517;29.0;108103.34666666666;23.5;23.671522;23.26923;17.81;62.829872131347656;150;90;2;100.0;0.0;100.0;0.0;33.12101910828025;47.13375796178344;95.54140127388536;57.324840764331206;1.2738853503184715
SP;SOROCABA;51;44;49;27;22;7;15;0;16;28;4.196078431372549;3.0;934346.9736607843;785.0;1604418.9639074074;159.0;21.354202;14.572025;17.81;4307.63623046875;45;0;0;44.89795918367347;55.10204081632652;14.285714285714285;30.612244897959183;31.372549019607842;54.90196078431373;88.23529411764706;0.0;0.0
SP;CUBATÃO;143;24;133;111;22;0;22;0;20;38;5.804195804195804;5.0;23575.289255244756;53.88;70694.3744954955;38.5;23.4081;19.051828;17.81;202.52667236328125;19;0;0;16.541353383458645;83.45864661654136;0.0;16.541353383458645;13.986013986013987;26.573426573426573;13.286713286713287;0.0;0.0
SP;EMBU DAS ARTES;138;17;138;116;22;0;22;0;6;25;6.666666666666667;7.0;3412.0914644927534;23.53375;3022.9554310344824;12.1;37.410606;40.20565;17.81;32.13784408569336;50;0;0;15.942028985507244;84.05797101449275;0.0;15.942028985507244;4.3478260869565215;18.115942028985508;36.231884057971016;0.0;0.0
SP;BURI;378;37;378;356;22;9;13;0;29;44;7.6534391534391535;7.0;13645.68724867725;45.0;10626.857813202247;19.745;36.60864;38.048855;17.81;122.1970329284668;183;0;0;5.82010582010582;94.17989417989418;2.380952380952381;3.439153439153439;7.671957671957672;11.64021164021164;48.41269841269841;0.0;0.0
BA;ITAGUAÇU DA BAHIA;429;12;429;407;22;0;22;0;143;145;5.291375291375291;3.0;4535.131864801865;20.43;2440.218385749386;10.3;25.42339;22.770287;17.81;16.395282745361328;0;0;0;5.128205128205128;94.87179487179486;0.0;5.128205128205128;33.33333333333333;33.7995337995338;0.0;0.0;0.0
RS;AMETISTA DO SUL;530;28;530;508;22;5;17;0;62;69;5.6;6.0;9107.953320754717;155.79000000000002;7473.977066141732;90.345;37.467873;36.98098;17.81;600.3649597167969;385;0;0;4.150943396226415;95.84905660377359;0.9433962264150944;3.207547169811321;11.69811320754717;13.018867924528301;72.64150943396226;0.0;0.0
