resultado_final_normalizado;classificacao_preco_ref;itens;processos;elegiveis_modelagem;sucesso_qtd;insucesso_qtd;deserto_qtd;fracassado_qtd;resultado_final_sucesso_qtd;baixa_comp_qtd;insucesso_ampliado_qtd;propostas_media;propostas_mediana;valor_cotado_medio;valor_cotado_mediano;valor_homologado_medio;valor_homologado_mediano;desconto_pct_medio;desconto_pct_mediano;mediana_ref_preco;desvio_cotado_ref_mediano_pct;me_epp_qtd;regional_qtd;local_qtd;taxa_insucesso_pct;taxa_sucesso_pct;taxa_deserto_pct;taxa_fracassado_pct;taxa_baixa_comp_pct;taxa_insucesso_ampliado_pct;pct_me_epp;pct_regional;pct_local
PUBLICADO;COTADO_PROXIMO_DA_REFERENCIA;5;1;0;0;0;0;0;0;0;0;0.0;0.0;18.666;19.0;;;;;17.81;6.681639671325684;0;0;0;;;;;0.0;0.0;0.0;0.0;0.0
DEFERIMENTO DE RECURSOS;COTADO_ACIMA_DA_REFERENCIA;4;1;0;0;0;0;0;0;0;0;4.0;4.0;973.585;793.175;801.055;527.235;20.062805;20.196264;17.81;4353.5372314453125;0;0;0;;;;;0.0;0.0;0.0;0.0;0.0
EM ADJUDICACAO;SEM_REFERENCIA;2;2;0;0;0;0;0;0;0;0;4.5;4.5;638.955;638.955;293.975;293.975;51.06212;51.06212;;;1;0;0;;;;;0.0;0.0;50.0;0.0;0.0
INTERPOSICAO DE RECURSOS;COTADO_ACIMA_DA_REFERENCIA;2;2;0;0;0;0;0;0;0;0;30.0;30.0;290531.77499999997;290531.77499999997;66089.31;66089.31;53.426815;53.426815;17.81;1631184.5546875;0;0;0;;;;;0.0;0.0;0.0;0.0;0.0
MANIFESTACAO DE RECURSOS;COTADO_PROXIMO_DA_REFERENCIA;2;1;0;0;0;0;0;0;0;0;8.0;8.0;17.775;17.775;13.885;13.885;21.802355;21.802355;17.81;-0.19651877880096436;0;0;0;;;;;0.0;0.0;0.0;0.0;0.0
EM FINALIZACAO;COTADO_ABAIXO_DA_REFERENCIA;1;1;0;0;0;0;0;0;0;0;65.0;65.0;0.0001;0.0001;;;;;17.81;-99.99943542480469;0;0;0;;;;;0.0;0.0;0.0;0.0;0.0
HABILITACAO;SEM_REFERENCIA;1;1;0;0;0;0;0;0;0;0;7.0;7.0;8.39;8.39;6.95;6.95;17.16329;17.16329;;;1;1;0;;;;;0.0;0.0;100.0;100.0;0.0
JULGAMENTO;COTADO_ACIMA_DA_REFERENCIA;1;1;0;0;0;0;0;0;1;1;2.0;2.0;400.0;400.0;1015.0;1015.0;-153.75;-153.75;17.81;2145.92919921875;1;0;0;;;;;100.0;100.0;100.0;0.0;0.0
NEGOCIACAO;COTADO_ACIMA_DA_REFERENCIA;1;1;0;0;0;0;0;0;1;1;1.0;1.0;7000.0;7000.0;7000.0;7000.0;0.0;0.0;17.81;39203.76171875;0;0;0;;;;;100.0;100.0;0.0;0.0;0.0
REVOGADO;SEM_REFERENCIA;1;1;0;0;0;0;0;0;1;1;1.0;1.0;732.53;732.53;;;;;;;1;0;0;;;;;100.0;100.0;100.0;0.0;0.0
